Episode 1650	Average Score: 16.81
Episode 1660	Average Score: 17.08
Episode 1670	Average Score: 17.06
Episode 1680	Average Score: 17.12
Episode 1690	Average Score: 17.15
Episode 1700	Average Score: 17.32
Episode 1710	Average Score: 17.26
Episode 1720	Average Score: 17.43
Episode 1730	Average Score: 17.40
Episode 1740	Average Score: 17.15
Episode 1750	Average Score: 17.17
Episode 1760	Average Score: 17.00
Episode 1770	Average Score: 17.08
Episode 1780	Average Score: 16.90
Episode 1790	Average Score: 16.85
Episode 1800	Average Score: 16.95
Episode 1810	Average Score: 16.95
Episode 1820	Average Score: 16.73
Episode 1830	Average Score: 16.59
Episode 1840	Average Score: 16.82
Episode 1850	Average Score: 17.18
Episode 1860	Average Score: 17.25
Episode 1870	Average Score: 17.21
Episode 1880	Average Score: 17.35
Episode 1890	Average Score: 17.34
Episode 1900	Average Score: 17.39
Episode 1910	Average Score: 17.51
Episode 1920	Average Score: 17.61
Episode 1930	Average Score: 17.49
Episode 1940	Average Score: 17.46
Episode 1950	Average Score: 17.27
Episode 1960	Average Score: 17.32
Episode 1970	Average Score: 17.56
Episode 1980	Average Score: 17.56
Episode 1990	Average Score: 17.25
Episode 2000	Average Score: 17.09
